GenoWGS	Group	Female	Male	HeadingDate	PlantHeight	GrainYield
F097	line	F097	F097	153.361875668074	76.1407240796538	9.15928827571534
F102	line	F102	F102	151.914752850837	88.7856536932317	9.72203730464193
F104	line	F104	F104	150.721854707366	83.152341492915	9.49516736496446
F107	line	F107	F107	151.544940923086	85.6181779840713	9.40819072899638
F120	line	F120	F120	149.308072534004	85.3862651895286	9.22591166720194
M006	line	M006	M006	153.223076784659	93.9268446236971	9.42694101920741
M012	line	M012	M012	153.771191229703	86.929038246582	8.6930701666105
M013	line	M013	M013	150.956380171248	87.2098259403624	9.17642926812638
M014	line	M014	M014	153.115349106922	87.3718798987786	9.52084051923807
M015	line	M015	M015	153.756628767407	87.1607312491009	9.19954514306189
ZF092	line	ZF092	ZF092	149.020569851761	75.0376950889763	9.47640891025285
ZF095	line	ZF095	ZF095	149.452336432416	80.4296338142119	9.61851676500134
ZF119	line	ZF119	ZF119	154.444468835164	90.4030739693438	9.93838663253871
ZF131	line	ZF131	ZF131	153.196214589901	79.0455706290364	9.69414323809839
ZF152	line	ZF152	ZF152	150.122623914806	75.7015182119494	9.31709985492271
ZF166	line	ZF166	ZF166	153.486149328179	81.0028631085391	9.14684701651762
ZM034	line	ZM034	ZM034	153.783259941379	78.6995016417764	9.19781603438938
ZF443	line	ZF443	ZF443	148.48774650986	79.8654454061329	9.37281561013421
ZF013	line	ZF013	ZF013	148.045110020675	87.1934316132535	8.93214737830616
ZF015	line	ZF015	ZF015	149.983390675485	88.7695921563087	9.71385410710917
ZF052	line	ZF052	ZF052	151.9044343615	86.4981624509735	9.74232869869672
ZF053	line	ZF053	ZF053	152.50492810003	84.881111482599	9.87734385407592
ZF387	line	ZF387	ZF387	154.598677793282	78.8941041708125	9.37870955533076
ZF406	line	ZF406	ZF406	150.340429242405	89.5717077566103	9.8445480088573
ZF411	line	ZF411	ZF411	153.985687159233	85.3665083180816	9.33484942706155
ZF416	line	ZF416	ZF416	154.667396373981	87.4645908036245	9.37574383481021
ZF417	line	ZF417	ZF417	152.410032885653	82.1309657185494	9.83993898295176
ZM339	line	ZM339	ZM339	152.899555815804	85.557373521323	8.93061457324496
F001	line	F001	F001	151.321116678231	83.6226416288024	9.22132831161804
F002	line	F002	F002	149.848774786905	80.6535360820698	8.79680263535705
F003	line	F003	F003	150.109653508052	82.7231837783204	9.30994127142833
F004	line	F004	F004	148.003010050234	74.9038837442989	9.1245025214375
F005	line	F005	F005	149.138211927748	76.3088093408524	8.61611404694091
F006	line	F006	F006	152.697048338475	72.4541949369639	9.68782626508389
F007	line	F007	F007	152.074277412199	72.8215348144035	9.21243502701629
F008	line	F008	F008	154.18220039622	71.1949264258213	9.11328166747992
F009	line	F009	F009	152.903203388559	73.5183494092265	8.95947038622459
F010	line	F010	F010	151.812880457681	72.3159248816303	8.65962341623996
F011	line	F011	F011	150.963051579503	69.415236937121	8.91035429710692
F012	line	F012	F012	154.499779777077	71.9315005407677	9.18527239364437
F013	line	F013	F013	150.562912480531	69.3495787027056	8.62290957871449
F014	line	F014	F014	154.223692474404	76.5973727929595	8.91305695530937
F015	line	F015	F015	150.85339261327	70.7535553739231	8.58536832385056
F016	line	F016	F016	152.250519873211	71.640811924111	9.13389770425474
F017	line	F017	F017	150.056822212124	75.129264570183	8.86913140535774
F018	line	F018	F018	152.887420763904	68.2003794974967	8.25355165959807
F019	line	F019	F019	149.081020597292	75.6982064518276	7.69448357578306
F020	line	F020	F020	150.843651940007	78.2605389270793	9.66591077103699
F021	line	F021	F021	149.073792522789	74.4246087366157	8.95100457887394
F022	line	F022	F022	151.275401834734	71.4036462006854	8.74676119272518
F023	line	F023	F023	150.254835326369	75.2096586074245	8.56724655201665
F024	line	F024	F024	149.936486004799	80.7344902192695	9.14548473386887
F025	line	F025	F025	149.988618812835	75.5831659540834	8.75673789041382
F026	line	F026	F026	148.936061334812	73.9811341628856	8.75423754314922
F027	line	F027	F027	146.465466634975	77.6208883935852	8.16086422890692
F028	line	F028	F028	150.11972689806	75.6235369058765	9.01047853396812
F029	line	F029	F029	149.909755948647	73.4184373150782	8.64806443643695
F030	line	F030	F030	148.636722421382	76.0896692958486	8.53927656964444
F031	line	F031	F031	149.112338090064	75.4739546828319	8.48610300545851
F032	line	F032	F032	150.351044690101	76.3046767815342	9.29754113085261
F033	line	F033	F033	148.717270415148	79.7600285734256	8.65035676390176
F034	line	F034	F034	151.23559638202	77.40506366652	8.49892665166649
F035	line	F035	F035	150.762734979449	75.2038441204402	8.65259310085613
F036	line	F036	F036	152.343993765844	73.4956215338049	8.73145473021542
