epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19 epQTL_20
Sim_1 dd dd dd ad ad da dd da dd ad aa ad da da dd da da dd aa da
Sim_2 ad ad da ad ad ad da ad ad dd dd da dd aa dd dd da ad da ad
Sim_3 dd dd da dd ad aa ad dd aa da dd dd dd da aa ad da ad dd aa
Sim_4 ad da ad dd aa aa aa aa aa dd da aa dd ad dd aa ad aa dd ad
Sim_5 ad da aa ad dd da dd da aa aa aa aa dd ad dd dd aa aa dd ad
Sim_6 ad aa aa da ad dd da dd dd ad da da dd ad dd ad ad dd ad aa
Sim_7 dd aa da da da ad aa ad ad aa aa aa da da ad da aa da da ad
Sim_8 ad da ad dd ad dd da aa aa dd aa ad aa da dd ad dd ad dd dd
Sim_9 ad dd dd ad ad da da dd ad da dd ad aa dd ad da da ad ad ad
Sim_10 aa da aa dd ad ad aa dd da dd ad ad aa dd dd da ad da ad dd
Sim_11 ad ad dd dd dd dd da da da aa dd dd ad da dd aa aa dd dd aa
Sim_12 aa dd aa da ad dd aa aa ad dd dd dd dd ad dd dd aa aa aa da
Sim_13 da ad da dd ad da aa aa ad ad dd dd ad da ad ad ad ad aa ad
Sim_14 aa ad aa ad ad ad ad ad dd da ad aa aa ad aa da ad dd ad da
Sim_15 da dd aa ad aa aa dd dd dd aa da dd aa dd dd ad aa ad aa dd
Sim_16 ad aa ad da dd dd ad dd dd ad aa ad da aa dd aa dd dd da dd
Sim_17 da ad ad ad ad da da da aa aa da da da ad dd ad dd da da ad
Sim_18 aa ad da aa aa aa aa dd ad ad dd ad da dd aa dd da dd aa ad
Sim_19 da dd dd ad aa ad ad ad dd dd da ad ad da ad da ad ad dd aa
Sim_20 aa ad aa dd ad ad ad ad da aa da aa ad aa ad aa ad dd ad ad
Sim_21 dd dd da dd dd da da ad ad da dd da da ad dd aa aa da da dd
Sim_22 da dd dd aa dd dd dd ad aa dd aa dd dd aa ad ad da da aa aa
Sim_23 dd aa aa aa dd da dd ad ad aa dd ad da da da da ad ad da ad
Sim_24 dd ad da dd aa ad da ad aa ad dd dd da aa ad ad aa ad aa aa
Sim_25 ad da da dd da aa dd ad ad dd ad ad ad aa da da da ad dd da
Sim_26 aa da dd dd aa da aa aa aa ad aa dd da dd aa dd dd aa dd dd
Sim_27 ad ad ad dd aa aa aa dd dd aa ad dd aa aa aa da aa ad dd da
Sim_28 ad ad aa ad dd dd da aa aa ad ad da ad aa dd ad da da ad dd
Sim_29 da ad dd da aa aa dd dd aa ad dd dd aa dd da aa aa ad aa dd
Sim_30 aa ad aa dd ad dd dd ad da da aa dd aa ad da ad ad da ad aa
Sim_31 dd dd ad ad dd da ad dd ad aa aa ad aa ad aa da ad dd aa da
Sim_32 ad aa aa ad aa ad dd ad ad dd aa dd ad dd dd da dd ad ad dd
Sim_33 da da ad ad dd aa dd aa dd ad aa ad da ad ad dd dd ad dd dd
Sim_34 da dd ad ad aa da dd ad da da ad aa ad da aa ad ad aa aa dd
Sim_35 da da da aa aa aa dd dd ad ad dd da dd ad dd dd ad da ad ad
Sim_36 ad da da dd ad da da dd ad ad ad da dd da aa dd aa dd dd da
Sim_37 dd ad ad dd aa ad aa da da aa aa ad ad dd dd da aa dd dd ad
Sim_38 ad aa aa aa dd dd dd ad ad aa aa da da dd ad aa da dd dd aa
Sim_39 ad aa dd ad dd dd aa dd da ad ad da aa aa da aa ad ad da aa
Sim_40 dd dd aa dd da ad aa ad ad da ad da ad ad da ad dd ad ad da
Sim_41 ad dd ad aa aa aa aa ad aa da da aa ad da dd aa dd da aa da
Sim_42 dd dd dd aa dd ad da ad ad ad aa ad dd da da ad ad dd ad aa
Sim_43 ad aa aa ad ad ad da ad dd aa aa ad dd ad ad dd dd aa da dd
Sim_44 aa ad dd ad ad ad ad aa dd ad ad ad aa ad ad ad aa da aa ad
Sim_45 da ad da da dd da dd da dd aa da dd dd aa dd dd ad da aa dd
Sim_46 dd dd ad aa dd da da dd ad ad aa da ad ad da ad da dd ad aa
Sim_47 dd dd dd aa aa dd aa ad da dd aa ad da aa ad dd aa da dd aa
Sim_48 ad dd dd dd da dd dd aa dd ad da dd ad aa da da dd ad aa aa
Sim_49 aa ad aa ad dd aa da ad dd aa aa aa ad ad dd aa da ad da ad
Sim_50 ad dd aa da da dd dd dd aa ad dd dd da dd da dd dd da ad da
Sim_51 ad da da aa da dd ad ad aa dd dd da ad dd dd aa aa aa da aa
Sim_52 aa ad da ad ad dd dd ad aa ad da ad dd aa ad ad dd ad aa ad
Sim_53 aa da dd da aa dd ad dd dd dd dd aa ad dd ad aa da dd da dd
Sim_54 aa aa aa da ad aa aa dd da ad aa aa aa aa dd dd ad aa da ad
Sim_55 ad dd aa da da aa dd ad aa dd aa dd dd dd ad dd dd ad da dd
Sim_56 dd ad ad ad dd dd dd dd aa ad ad dd aa dd da da dd dd da ad
Sim_57 da dd aa dd dd dd ad aa dd da ad ad da ad dd ad aa aa dd aa
Sim_58 aa ad ad da dd ad ad dd dd da aa dd ad da ad ad da aa aa ad
Sim_59 aa da da da da dd dd ad dd dd dd dd ad aa dd dd da ad ad dd
Sim_60 aa aa da ad dd dd dd dd ad dd dd dd dd aa dd aa da ad dd ad
Sim_61 dd da ad ad ad da ad ad aa aa dd da aa da da ad da aa ad ad
Sim_62 aa aa dd aa dd aa ad dd dd aa ad da dd dd aa ad aa aa dd dd
Sim_63 aa aa ad ad dd aa aa dd aa da dd aa dd ad dd dd ad ad aa ad
Sim_64 da da dd dd dd aa aa dd ad ad aa aa dd da dd dd da dd ad aa
Sim_65 aa aa aa dd ad ad ad dd ad da aa aa dd dd dd ad dd dd aa dd
Sim_66 ad ad aa dd dd da ad ad ad aa ad ad aa dd dd aa dd ad da da
Sim_67 da ad aa dd da dd dd dd ad dd ad dd aa da ad aa dd ad dd aa
Sim_68 dd dd aa aa ad da aa aa dd ad ad da aa da dd ad dd dd dd dd
Sim_69 aa aa aa ad aa ad da aa da da aa aa ad dd da ad da ad ad dd
Sim_70 aa ad aa dd da da dd ad da da dd dd ad da da ad da aa da ad
Sim_71 ad dd ad da ad da dd ad da dd da da ad ad dd dd ad aa da ad
Sim_72 da ad dd ad dd aa ad dd ad ad ad ad aa dd dd dd ad da dd ad
Sim_73 ad dd aa aa da dd dd dd dd aa ad dd da aa ad aa ad ad da dd
Sim_74 ad aa da da ad da dd ad da dd dd da ad dd da dd aa da dd da
Sim_75 ad dd ad ad da ad dd aa aa dd ad da ad aa ad dd ad ad aa da
