epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5
Sim_1 da dd da ad da
Sim_2 dd dd ad ad da
Sim_3 dd ad da da dd
Sim_4 ad da ad dd dd
Sim_5 aa ad da da da
Sim_6 ad dd ad da da
Sim_7 da dd da da aa
Sim_8 dd da da dd aa
Sim_9 da da aa ad aa
Sim_10 dd ad dd da da
Sim_11 da ad ad da da
Sim_12 da da ad da dd
Sim_13 aa ad dd ad aa
Sim_14 dd da aa ad da
Sim_15 dd ad da dd dd
Sim_16 da ad ad ad da
Sim_17 da aa da dd da
Sim_18 da dd ad da dd
Sim_19 da da da da da
Sim_20 dd dd dd dd aa
Sim_21 dd aa aa aa ad
Sim_22 da da aa ad da
Sim_23 da aa aa dd da
Sim_24 aa aa aa dd aa
Sim_25 da da ad dd dd
Sim_26 da da aa dd ad
Sim_27 da dd dd da ad
Sim_28 dd da aa aa da
Sim_29 da ad da ad da
Sim_30 da da ad da ad
Sim_31 ad dd da da da
Sim_32 aa da dd dd da
Sim_33 dd ad da ad da
Sim_34 da dd da dd da
Sim_35 ad da ad da da
Sim_36 ad dd aa ad da
Sim_37 dd aa aa da da
Sim_38 ad da ad ad da
Sim_39 ad dd ad ad ad
Sim_40 dd da da da aa
Sim_41 aa dd da dd aa
Sim_42 da ad da aa dd
Sim_43 ad dd da ad ad
Sim_44 da da dd aa da
Sim_45 dd dd da ad da
Sim_46 ad da da da dd
Sim_47 ad da da ad da
Sim_48 aa aa aa dd aa
Sim_49 dd aa dd dd dd
Sim_50 aa da dd dd da
Sim_51 ad da aa dd da
Sim_52 aa dd ad da dd
Sim_53 da da dd aa dd
Sim_54 da da ad da dd
Sim_55 da ad aa da da
Sim_56 da dd dd ad dd
Sim_57 dd da aa ad dd
Sim_58 dd da dd ad da
Sim_59 dd dd da dd aa
Sim_60 ad da dd da da
Sim_61 da dd dd dd da
Sim_62 da da aa da ad
Sim_63 aa da ad da dd
Sim_64 da da dd aa da
Sim_65 ad ad aa ad ad
Sim_66 da aa aa dd da
Sim_67 da ad ad dd aa
Sim_68 da da ad aa aa
Sim_69 dd da dd dd da
Sim_70 ad dd da ad ad
Sim_71 da dd dd dd dd
Sim_72 da dd aa dd ad
Sim_73 da da da dd da
Sim_74 ad ad da da aa
Sim_75 ad ad da aa aa
Sim_76 ad da dd aa dd
Sim_77 dd dd da ad da
Sim_78 dd aa ad da dd
Sim_79 dd da ad ad ad
Sim_80 dd da ad dd aa
Sim_81 dd da dd da da
Sim_82 dd dd dd dd dd
Sim_83 da dd ad aa ad
Sim_84 ad da ad da ad
Sim_85 aa aa da dd dd
Sim_86 da dd da ad aa
Sim_87 ad da ad da aa
Sim_88 dd dd dd da ad
Sim_89 aa ad dd ad da
Sim_90 da da aa dd da
Sim_91 da dd aa dd aa
Sim_92 da da ad ad dd
Sim_93 ad ad da ad dd
Sim_94 ad da ad aa da
Sim_95 aa ad aa da dd
Sim_96 ad ad da aa da
Sim_97 dd dd ad aa da
Sim_98 da ad dd dd dd
Sim_99 dd dd da aa da
Sim_100 da ad da da da
