epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19
Sim_1 aa ad da dd da da da dd da ad dd dd ad aa da ad dd dd ad
Sim_2 aa dd ad ad da dd ad da ad ad dd da dd aa da aa aa aa da
Sim_3 aa aa aa aa dd dd da dd da aa ad aa ad dd aa ad da dd ad
Sim_4 da dd aa aa da ad aa da aa dd ad da aa da aa dd ad ad da
Sim_5 da dd da aa da dd dd dd da aa aa ad aa da ad dd aa da ad
Sim_6 ad aa ad da dd ad da da ad aa aa da ad da da dd dd da ad
Sim_7 dd ad ad da aa ad da ad ad ad da ad da dd ad aa dd da ad
Sim_8 da da ad aa aa dd aa aa aa ad aa ad dd dd ad aa aa ad aa
Sim_9 ad ad ad da ad ad da da da dd aa aa dd ad ad dd ad dd ad
Sim_10 da dd dd da ad aa da da ad ad dd da ad aa dd ad aa da aa
Sim_11 ad da aa dd da dd da aa dd dd aa aa da da aa dd ad aa dd
Sim_12 ad aa ad da ad ad dd ad aa da da ad da ad da ad dd da aa
Sim_13 dd ad da dd ad dd dd dd dd da da da ad dd ad aa dd aa ad
Sim_14 dd da dd ad aa aa dd dd dd aa da dd ad da da aa dd aa dd
Sim_15 ad da aa ad ad dd ad da aa dd ad ad ad aa dd dd da da da
Sim_16 dd ad da dd ad ad dd aa dd aa dd ad aa da dd aa dd da aa
Sim_17 da ad ad ad aa aa da da dd dd dd aa da ad da ad dd aa da
Sim_18 ad aa da da aa ad ad aa aa aa ad ad ad da aa dd ad aa da
Sim_19 aa dd da da dd aa aa aa ad aa dd ad da aa aa dd dd da dd
Sim_20 aa ad ad aa dd ad dd dd dd dd ad aa aa dd aa aa dd da dd
Sim_21 dd da aa dd ad aa ad dd da aa aa dd dd aa ad dd ad ad aa
Sim_22 aa dd ad dd dd aa dd aa aa da aa aa aa aa ad dd da aa dd
Sim_23 ad da ad ad da ad ad da da ad dd da ad dd dd ad aa da ad
Sim_24 da da aa aa da dd dd aa dd aa ad aa dd aa dd aa aa dd aa
Sim_25 ad aa dd ad ad da dd da dd ad da ad da aa da da aa ad dd
Sim_26 dd dd aa ad ad da ad da ad ad da da aa ad ad ad aa ad dd
Sim_27 aa dd da ad dd ad da dd aa ad ad dd ad aa dd dd da aa dd
Sim_28 aa aa dd ad ad aa ad aa dd dd ad aa aa ad da aa aa da dd
Sim_29 da dd dd aa da da da dd aa da dd ad aa aa ad aa ad da dd
Sim_30 ad da ad aa aa aa aa ad aa aa aa aa da aa ad aa aa dd ad
Sim_31 dd aa aa da dd ad da dd dd dd da ad aa ad ad ad aa dd ad
Sim_32 ad da dd aa aa ad aa dd dd dd da da ad aa dd dd da da dd
Sim_33 ad aa aa aa dd dd da dd ad ad dd aa dd ad aa da dd da da
Sim_34 dd da da aa ad da ad da aa dd aa dd aa dd ad ad da aa dd
Sim_35 aa dd dd da dd dd da ad da dd aa aa aa aa ad dd ad da aa
Sim_36 da dd aa dd ad aa ad dd dd da da dd ad dd ad dd dd dd da
Sim_37 da aa aa ad dd dd da dd da ad aa aa ad dd ad dd dd dd aa
Sim_38 ad dd ad da dd dd dd aa aa dd dd da da da ad aa da ad da
Sim_39 dd aa da dd da ad ad aa da ad ad ad aa aa da aa ad aa da
Sim_40 dd dd da aa da aa ad aa dd dd dd da aa da da dd aa aa dd
Sim_41 da aa da dd ad da da aa da aa aa aa ad ad aa da da aa dd
Sim_42 ad da dd da ad aa dd da da ad ad ad da ad da ad dd da aa
Sim_43 dd da dd da dd aa da dd aa dd da aa dd dd ad ad aa aa dd
Sim_44 aa ad da ad da dd aa dd ad aa ad dd ad da ad da dd dd aa
Sim_45 dd ad da da aa dd dd da dd da dd ad dd da aa dd dd aa ad
Sim_46 da aa dd aa ad da aa aa dd aa ad aa aa da da ad dd dd dd
