epQTL_1 epQTL_2 epQTL_3 epQTL_4
Sim_1 ad ad aa ad
Sim_2 aa da ad ad
Sim_3 aa aa da aa
Sim_4 da aa ad da
Sim_5 aa aa aa ad
Sim_6 aa aa aa ad
Sim_7 aa ad ad ad
Sim_8 ad aa ad aa
Sim_9 aa aa dd aa
Sim_10 da dd dd ad
Sim_11 aa aa ad aa
Sim_12 da ad da aa
Sim_13 ad aa aa ad
Sim_14 da aa aa dd
Sim_15 aa aa da aa
Sim_16 da aa ad ad
Sim_17 da ad aa aa
Sim_18 da aa aa dd
Sim_19 da ad ad ad
Sim_20 da aa aa dd
Sim_21 dd dd dd ad
Sim_22 aa dd da dd
Sim_23 da aa ad aa
Sim_24 aa ad aa aa
Sim_25 aa aa da ad
Sim_26 aa ad aa aa
Sim_27 aa aa da ad
Sim_28 ad aa da dd
Sim_29 ad da ad aa
Sim_30 aa aa da aa
Sim_31 aa aa dd ad
Sim_32 aa ad aa aa
Sim_33 aa aa ad da
Sim_34 aa da ad ad
Sim_35 ad aa da da
Sim_36 da ad ad ad
Sim_37 aa aa da aa
Sim_38 ad aa aa aa
Sim_39 ad dd dd ad
Sim_40 aa da aa dd
Sim_41 ad da ad ad
Sim_42 aa aa da aa
Sim_43 aa aa aa ad
Sim_44 da ad ad aa
Sim_45 ad aa da aa
Sim_46 ad aa aa ad
Sim_47 aa da aa aa
Sim_48 aa ad aa da
Sim_49 aa ad aa da
Sim_50 aa ad da aa
Sim_51 aa dd ad dd
Sim_52 da dd dd aa
Sim_53 aa aa da aa
Sim_54 da aa ad aa
Sim_55 aa da da aa
Sim_56 aa ad aa da
Sim_57 aa da dd ad
Sim_58 aa aa ad aa
Sim_59 dd aa da aa
Sim_60 aa dd aa ad
Sim_61 aa dd aa da
Sim_62 aa dd ad da
Sim_63 aa da aa ad
Sim_64 aa aa dd ad
Sim_65 da aa ad aa
Sim_66 ad ad da ad
Sim_67 aa aa dd da
Sim_68 ad dd aa aa
Sim_69 aa aa aa ad
Sim_70 ad ad dd aa
Sim_71 ad aa dd da
Sim_72 da aa aa ad
Sim_73 da aa da dd
Sim_74 aa ad aa ad
Sim_75 aa aa ad aa
Sim_76 da aa dd aa
Sim_77 da aa aa ad
Sim_78 aa da aa da
Sim_79 aa ad ad aa
Sim_80 ad da aa da
Sim_81 ad ad ad aa
Sim_82 da ad da aa
Sim_83 ad da dd dd
Sim_84 ad ad ad ad
Sim_85 ad da aa dd
Sim_86 aa aa aa aa
Sim_87 ad aa ad ad
Sim_88 dd ad dd dd
Sim_89 aa aa aa aa
Sim_90 ad ad aa aa
Sim_91 aa dd aa da
Sim_92 aa dd ad aa
Sim_93 ad ad ad dd
Sim_94 aa ad aa dd
Sim_95 aa aa aa dd
Sim_96 ad aa ad aa
Sim_97 da da da aa
Sim_98 aa da da aa
Sim_99 ad dd aa aa
Sim_100 dd da aa dd
