hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19
Sim_1 Chr1B_280504970 0.049305062742711 Chr4D_111977976 Chr6B_636349897 Chr1A_485096804 Chr3D_340310507 Chr7D_605724724 Chr6A_572446345 Chr5A_382252943 Chr5B_677473384 Chr2B_545442778 Chr3A_716670430 Chr2A_760223463 Chr3B_179318354 Chr7B_711018386 Chr7A_643832678 Chr4A_666676932 Chr1D_420161180 Chr4B_61922668 Chr2D_414092150 Chr6D_189771125
Sim_2 Chr7A_617558015 0.0490038599787496 Chr3B_703776662 Chr6D_86192782 Chr6B_662562701 Chr5A_533903610 Chr3D_336696445 Chr7D_12819399 Chr5B_416298956 Chr7B_641124389 Chr4A_476766957 Chr1A_303921807 Chr1B_671041337 Chr5D_108956570 Chr2A_505622950 Chr2B_524474962 Chr6A_572446345 Chr2D_440523665 Chr4B_607839641 Chr4D_35353950 Chr3A_311182604
Sim_3 Chr4A_605550430 0.0533223294814545 Chr2A_82839507 Chr3B_521287689 Chr1B_279831882 Chr5D_261873220 Chr7A_566443366 Chr5B_431695965 Chr6A_350083173 Chr7D_447539404 Chr3A_274713605 Chr1A_587734137 Chr1D_220969112 Chr2B_576099993 Chr6B_653996219 Chr6D_486574673 Chr4D_61425671 Chr2D_502350271 Chr3D_128613815 Chr7B_551610376 Chr4B_63813054
Sim_4 Chr5B_706719348 0.0505275179830618 Chr7B_700798062 Chr3B_461726696 Chr5D_448706062 Chr3D_325479993 Chr6D_336600418 Chr2D_349831512 Chr7A_72844645 Chr7D_422602383 Chr1D_219497868 Chr4D_242846239 Chr1A_50028197 Chr1B_445340533 Chr3A_611161111 Chr6A_2938291 Chr4B_447117654 Chr4A_699507779 Chr6B_115692467 Chr2B_193317106 Chr2A_695252640
Sim_5 Chr2B_525628053 0.0471571702505851 Chr7D_604192550 Chr1A_34024207 Chr7B_754165584 Chr4B_161692616 Chr5A_700812787 Chr3D_187815180 Chr4D_505957703 Chr2D_495046508 Chr6B_468002401 Chr6D_139683597 Chr2A_737790689 Chr3B_79542542 Chr4A_544390717 Chr3A_383501750 Chr1D_154622218 Chr5D_518872293 Chr5B_561845016 Chr7A_681362842 Chr6A_364680410
Sim_6 Chr6B_163358236 0.0457456726969884 Chr1B_220275999 Chr4B_66125104 Chr5B_548659131 Chr2D_9786791 Chr1D_471709510 Chr5A_493581907 Chr2B_246606298 Chr7B_643695994 Chr4A_650216591 Chr1A_221553726 Chr6D_417421915 Chr3B_797602477 Chr5D_434352970 Chr4D_298638838 Chr6A_568342154 Chr7A_223876101 Chr3D_252369830 Chr7D_575431794 Chr3A_446102452
Sim_7 Chr4D_378568089 0.0477333812606824 Chr6B_650735557 Chr2B_562476431 Chr2A_308390222 Chr7B_76790562 Chr1B_468482676 Chr7D_237684538 Chr3D_81789617 Chr1A_454767212 Chr6D_484914394 Chr4B_585843207 Chr6A_546943805 Chr5B_693075889 Chr4A_590384914 Chr5A_484220273 Chr2D_564987912 Chr3A_616358576 Chr1D_82673480 Chr7A_80914006 Chr3B_642480700
Sim_8 Chr7A_22887582 0.046045949858568 Chr7B_439941353 Chr6B_194920512 Chr3A_680506556 Chr7D_243229397 Chr1D_153030064 Chr5D_218441792 Chr4B_372055631 Chr6A_17582658 Chr2A_164241953 Chr1A_588227500 Chr5B_612788755 Chr3D_71872504 Chr4D_441480777 Chr3B_504092575 Chr5A_493581907 Chr1B_355317786 Chr2B_781232040 Chr4A_230430015 Chr2D_19990868
Sim_9 Chr1B_136244431 0.0468605218952403 Chr5B_650810445 Chr4B_633710590 Chr7A_516785332 Chr4D_185489084 Chr3A_750112137 Chr1A_544839138 Chr3B_825109309 Chr5A_608791046 Chr6A_520185734 Chr5D_550559492 Chr7D_317580271 Chr2D_252011051 Chr6D_320429069 Chr7B_756606218 Chr3D_165479127 Chr6B_59759182 Chr4A_666676932 Chr2A_94616653 Chr1D_476466962
Sim_10 Chr7A_553736581 0.0488037303419323 Chr5D_214734032 Chr4A_433360489 Chr1A_587870430 Chr4D_329265885 Chr4B_109918881 Chr7D_575431794 Chr1B_297541382 Chr6A_619150323 Chr2D_292066049 Chr7B_315428394 Chr3D_53139934 Chr6B_128714089 Chr3B_320171793 Chr6D_154383719 Chr5B_358017401 Chr2B_800293928 Chr5A_111508814 Chr1D_496161107 Chr2A_752903119
Sim_11 Chr7B_687679110 0.053104422358687 Chr1A_433861454 Chr7A_729487596 Chr4A_42565713 Chr2B_247247732 Chr6D_435821667 Chr3A_175158532 Chr7D_200960798 Chr6A_75241081 Chr2D_116987332 Chr4B_405666923 Chr5D_554092580 Chr5A_329624746 Chr2A_158456663 Chr3D_356959874 Chr3B_14302132 Chr4D_430059738 Chr6B_202987468 Chr1D_166014125 Chr1B_363773686
Sim_12 Chr1D_181392811 0.0471711657213569 Chr7B_741482944 Chr2B_192419440 Chr1A_596782739 Chr3D_42958298 Chr5A_548283091 Chr7D_371214493 Chr1B_318927274 Chr4B_66664180 Chr4D_351916141 Chr7A_322312078 Chr5D_396941752 Chr2A_361005631 Chr6D_341889830 Chr3B_579516897 Chr3A_740235378 Chr6A_242168616 Chr5B_581373328 Chr6B_26046035 Chr2D_260335225
Sim_13 Chr2D_564987912 0.0496759330290702 Chr3A_536256644 Chr6D_320429069 Chr5A_417807406 Chr2B_795972176 Chr1B_61363301 Chr4A_402204374 Chr1A_52014751 Chr7D_455486581 Chr6B_438008207 Chr7B_708199935 Chr4B_34944182 Chr7A_603212924 Chr5B_498611584 Chr4D_298638838 Chr6A_598478262 Chr3B_633045667 Chr5D_454296786 Chr3D_42958298 Chr1D_181392811
Sim_14 Chr1B_583078973 0.0537367907169425 Chr2B_188425323 Chr5B_454004734 Chr3B_496062776 Chr4A_407524476 Chr3A_7920631 Chr4D_61425671 Chr5D_110035543 Chr7B_711608893 Chr1A_467504935 Chr6D_161284362 Chr7D_490870240 Chr7A_720776517 Chr3D_596969240 Chr6B_691876048 Chr5A_694107632 Chr1D_41312228 Chr2A_410652607 Chr4B_378325325 Chr6A_58595886
Sim_15 Chr1B_471922237 0.0531311562827246 Chr6B_92254743 Chr2D_361804954 Chr6D_80752977 Chr6A_564889311 Chr3A_401154049 Chr5A_665408216 Chr3B_412395445 Chr7D_579772212 Chr4B_489834439 Chr3D_562573273 Chr2A_378564441 Chr1D_376321434 Chr4A_416116432 Chr7A_687931112 Chr1A_545444651 Chr4D_440436245 Chr2B_82480173 Chr5D_485535117 Chr5B_561845016
Sim_16 Chr3B_211667140 0.0486878853180681 Chr6B_517622732 Chr3D_28962324 Chr5D_8197041 Chr5A_20064845 Chr7D_185927008 Chr1B_631569652 Chr2D_468970552 Chr3A_451515257 Chr4A_680544931 Chr7B_69689506 Chr1A_59557399 Chr4B_94912538 Chr7A_589701856 Chr6A_599074125 Chr6D_60955304 Chr4D_37031251 Chr2B_420394599 Chr2A_60710413 Chr1D_122003171
Sim_17 Chr1B_104623479 0.0484405691350607 Chr7B_741627487 Chr1A_480882995 Chr7A_714152725 Chr3A_331048852 Chr4D_27075820 Chr4A_3141386 Chr5B_403431754 Chr4B_223568687 Chr7D_621786699 Chr2D_75531315 Chr3B_349051600 Chr6D_403498589 Chr5D_451722130 Chr5A_449457745 Chr6A_580278846 Chr2A_699049096 Chr6B_682787193 Chr2B_800132885 Chr1D_420161180
Sim_18 Chr5D_558031770 0.0511971843819999 Chr6D_432128665 Chr5A_103154559 Chr3A_542725476 Chr2D_133328163 Chr2B_503638871 Chr4B_178759578 Chr4A_616375729 Chr7A_576992214 Chr3B_489209812 Chr5B_624778145 Chr2A_132220408 Chr6B_399216974 Chr7B_723175254 Chr3D_141715664 Chr4D_298638838 Chr6A_266145754 Chr1B_437011167 Chr1D_354554801 Chr7D_175970699
Sim_19 Chr2B_799381532 0.0462693328880205 Chr7A_182787044 Chr1D_457798227 Chr1A_454767212 Chr6A_621644371 Chr7B_742495464 Chr1B_554890100 Chr4A_666340643 Chr6B_700482895 Chr5D_182385529 Chr4D_37031251 Chr5B_489632302 Chr5A_214147408 Chr6D_308551703 Chr4B_491421030 Chr3B_243544319 Chr2A_713608440 Chr3A_716670430 Chr7D_621786699 Chr3D_452938313
Sim_20 Chr7D_109416503 0.0528396412718323 Chr1B_478550758 Chr3B_640654049 Chr5D_182385529 Chr5A_114863506 Chr7B_755329678 Chr1A_545444651 Chr4A_314123167 Chr7A_374485975 Chr6A_22173009 Chr2B_262501426 Chr1D_207145215 Chr5B_131694195 Chr6D_320429069 Chr4B_557167241 Chr2D_323023213 Chr2A_519109018 Chr3D_100530421 Chr6B_81121634 Chr3A_25746494
Sim_21 Chr2B_624165665 0.0478847673275835 Chr6B_93154568 Chr1B_451723439 Chr6D_350284075 Chr7B_608645074 Chr3D_596827831 Chr7A_355745430 Chr5B_313148805 Chr3B_95942114 Chr5D_502178293 Chr1D_454437991 Chr4B_531201532 Chr6A_360460151 Chr2A_313195822 Chr2D_175907318 Chr3A_713270427 Chr1A_14208105 Chr4A_183209225 Chr5A_540141857 Chr4D_378568089
Sim_22 Chr3A_687327053 0.0532743896505218 Chr3B_273177415 Chr2A_580187652 Chr6D_415493738 Chr6A_13488117 Chr1A_25471168 Chr3D_182174821 Chr2B_504950290 Chr5A_470660004 Chr1B_183989981 Chr1D_231113067 Chr2D_19990868 Chr5D_550674811 Chr7B_87685992 Chr5B_52553788 Chr4D_41766564 Chr4A_272709228 Chr6B_444604858 Chr7A_497669684 Chr7D_548205485
Sim_23 Chr6B_30765363 0.0534828217625044 Chr5B_194589328 Chr6D_470075110 Chr1A_181131200 Chr5D_449205643 Chr2D_236303785 Chr5A_535130839 Chr7A_310250281 Chr3D_192741368 Chr3A_439319909 Chr6A_479801741 Chr2A_776475005 Chr3B_366883549 Chr4A_436730214 Chr1D_399662346 Chr4B_61922668 Chr4D_51145714 Chr1B_144494452 Chr2B_756136699 Chr7B_738882461
Sim_24 Chr6B_98397284 0.0535991301050968 Chr2B_224901156 Chr5B_563531784 Chr1D_480178189 Chr4D_135391365 Chr7D_621786699 Chr3B_46953976 Chr4A_104617492 Chr7B_64493284 Chr5D_568529738 Chr1B_518922003 Chr4B_66664180 Chr6D_43316592 Chr7A_584941631 Chr3A_500314121 Chr2D_17779590 Chr5A_444717017 Chr2A_508649522 Chr6A_16075604 Chr1A_28803725
