hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5
Sim_1 Chr1B_104623479 0.0514501244498108 Chr4D_109503045 Chr5B_568058674 Chr5D_476327867 Chr2D_10283446 Chr4A_608140654
Sim_2 Chr2A_361005631 0.0473802580541671 Chr1D_471709510 Chr7D_617953297 Chr5A_548479466 Chr1B_611988921 Chr7A_689289097
Sim_3 Chr1B_571090373 0.0517629863283265 Chr7B_645717860 Chr4D_291220890 Chr5B_234617007 Chr7A_307299746 Chr3B_41171224
Sim_4 Chr2D_127249957 0.0471693582751253 Chr1D_40222486 Chr3A_659353620 Chr4D_407834863 Chr7B_613679844 Chr1B_151998253
Sim_5 Chr6B_62336241 0.0493485586473001 Chr3D_86161430 Chr4A_640953805 Chr1B_261470510 Chr7D_365822471 Chr5D_255197627
Sim_6 Chr6A_397157229 0.0492041068047296 Chr4D_113784377 Chr4B_574793208 Chr5D_534828447 Chr5A_674447516 Chr1A_137231161
Sim_7 Chr5B_303030228 0.046218728256268 Chr4D_57784932 Chr1D_289390747 Chr7D_200960798 Chr3D_43579014 Chr3A_25728416
Sim_8 Chr3B_370030981 0.0503790890202568 Chr2A_765031710 Chr5D_502178293 Chr2D_617915098 Chr4D_474049720 Chr2B_576980485
Sim_9 Chr3A_448041089 0.0477438178601784 Chr5B_36830398 Chr6A_71264763 Chr4B_41925124 Chr3D_257456482 Chr1D_291654182
Sim_10 Chr1B_498889167 0.0541216259876043 Chr6D_341184340 Chr6A_340573353 Chr4B_648617589 Chr5B_631851672 Chr2D_286380203
Sim_11 Chr2A_692789803 0.0464270820885063 Chr3B_489881542 Chr6A_580278846 Chr6B_691876048 Chr3D_502544927 Chr5D_542571830
Sim_12 Chr1A_79047608 0.0456764153957819 Chr7D_618335419 Chr1D_493390668 Chr7A_586745122 Chr7B_67213630 Chr5D_540617469
Sim_13 Chr2A_219109556 0.0475967588192754 Chr3A_624541054 Chr4D_122463310 Chr3D_318708744 Chr5A_5388780 Chr1A_463314805
Sim_14 Chr3B_429244089 0.0456311861352492 Chr2D_467171212 Chr6D_34729339 Chr7D_642634879 Chr6A_264191839 Chr4A_42468650
Sim_15 Chr4B_312658974 0.0496999238765425 Chr7D_185927008 Chr7B_303355306 Chr1D_220969112 Chr3B_639623204 Chr4D_35353950
Sim_16 Chr3D_436677853 0.0492456287324908 Chr6B_651074417 Chr1B_289368080 Chr7A_651801242 Chr7B_190179798 Chr1A_492948730
Sim_17 Chr5A_348443200 0.0529108320934676 Chr7B_158014853 Chr1B_122880346 Chr7A_701934997 Chr6B_78376596 Chr2A_781519355
Sim_18 Chr1A_431701574 0.0454208844980703 Chr4B_594678704 Chr1B_262842540 Chr6A_329564139 Chr7B_158014853 Chr2D_313742190
