hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4
Sim_1 Chr1D_121489094 0.0539719982730936 Chr3D_481088538 Chr4D_196470057 Chr6D_411374544 Chr5A_524729055
Sim_2 Chr6D_60955304 0.0532791042941334 Chr5D_344821763 Chr3D_389390437 Chr3B_603393294 Chr3A_9148630
Sim_3 Chr4A_733920662 0.0524065069856151 Chr1D_120874487 Chr6A_350083173 Chr2D_40183371 Chr5D_11189454
Sim_4 Chr7A_350571611 0.0538160766176671 Chr4B_231560329 Chr6D_244841211 Chr3D_522165750 Chr4A_492727560
Sim_5 Chr3B_179734122 0.0536412639875128 Chr1A_544839138 Chr4D_248484430 Chr7A_714267612 Chr6B_128637455
Sim_6 Chr5D_279189939 0.0548708070643104 Chr6A_203574710 Chr2D_564987912 Chr7A_191380847 Chr2A_508043326
Sim_7 Chr2D_564987912 0.0456850945832429 Chr5B_589577337 Chr2B_725024134 Chr4D_370809620 Chr1D_383259120
Sim_8 Chr3B_751584977 0.0510189469043015 Chr4D_334503563 Chr1A_24820717 Chr7B_711018386 Chr7D_578329892
Sim_9 Chr1B_572139622 0.0461274231254282 Chr3D_582475042 Chr5D_550559492 Chr6D_145745214 Chr3B_31864067
Sim_10 Chr1B_250100081 0.0541997685984526 Chr1D_76892354 Chr5D_541462522 Chr6D_24660033 Chr7A_81020734
Sim_11 Chr1D_489600697 0.0542322156672927 Chr6D_102599903 Chr3D_81789617 Chr4D_351916141 Chr1B_455609066
Sim_12 Chr2D_564226878 0.0535110580767336 Chr3D_553641672 Chr4B_121962856 Chr1A_492948730 Chr1D_417749532
Sim_13 Chr6A_464323380 0.0473863183680201 Chr3B_72957334 Chr2D_148315915 Chr1A_507851682 Chr1B_344264785
Sim_14 Chr6B_717445587 0.0451314001880634 Chr2A_121848132 Chr3B_45716656 Chr5D_423104481 Chr1B_519785400
Sim_15 Chr2A_252618790 0.0541556263187776 Chr6A_240145748 Chr5B_241121126 Chr5D_8197041 Chr3B_329380656
Sim_16 Chr6A_548379105 0.0546031218291803 Chr1D_431385533 Chr1B_531356019 Chr5B_19448579 Chr7D_127020986
Sim_17 Chr3B_423346534 0.0483775602316641 Chr7B_186986239 Chr6B_445749353 Chr6D_389356090 Chr4D_488170986
Sim_18 Chr5B_332339346 0.0536298077100771 Chr3D_460204739 Chr5D_419394249 Chr6D_74335539 Chr7A_393231982
Sim_19 Chr3D_20180300 0.0486425735534246 Chr5B_243196426 Chr6B_14685579 Chr2A_765031710 Chr1D_82673480
Sim_20 Chr6B_62336241 0.0469430799359515 Chr5D_242943693 Chr4B_594678704 Chr2D_79978081 Chr4A_365005288
Sim_21 Chr5A_699689498 0.0487224048068014 Chr4B_301115614 Chr2B_783199305 Chr3B_18774437 Chr7A_695102069
Sim_22 Chr5A_450333756 0.049815616431513 Chr1D_472517867 Chr6D_376699463 Chr1B_26631261 Chr2B_103638723
Sim_23 Chr1B_436154301 0.051542805621493 Chr1D_423140854 Chr6B_52595596 Chr7D_544581732 Chr6D_390523547
Sim_24 Chr6A_194616296 0.0538326604951588 Chr3A_9148630 Chr2A_251371871 Chr1B_285040657 Chr1D_231113067
Sim_25 Chr7A_223876101 0.0521703622049302 Chr2D_143326167 Chr4A_52899101 Chr7D_287762759 Chr1D_488470793
Sim_26 Chr7A_177939997 0.0483157369552364 Chr5A_348443200 Chr2A_386829046 Chr4A_271018032 Chr6D_37187689
Sim_27 Chr7A_15769204 0.054547696047381 Chr6A_602827935 Chr1D_466670986 Chr3B_624866236 Chr1A_86160779
Sim_28 Chr3B_707298080 0.0475967531134712 Chr6D_397669341 Chr4D_334503563 Chr5A_469200988 Chr7D_375314393
Sim_29 Chr1A_503800329 0.0511098405433949 Chr4D_282317278 Chr7D_4677682 Chr3D_580221298 Chr4A_607414528
Sim_30 Chr4A_212965741 0.0544707987576932 Chr6B_508525949 Chr7D_421476670 Chr5B_659632977 Chr3D_74647885
Sim_31 Chr2B_197119685 0.0535916061597818 Chr6B_721540986 Chr4D_51145714 Chr6A_242168616 Chr1B_106256580
Sim_32 Chr1B_149442616 0.048500859389471 Chr7D_395396747 Chr5A_456878153 Chr2B_193759542 Chr7B_567155036
Sim_33 Chr6B_194920512 0.0481595532654115 Chr1A_169237825 Chr7B_733600127 Chr2D_227537904 Chr5B_395403574
Sim_34 Chr3A_562342084 0.0475399300320654 Chr3D_1001550 Chr4A_732199650 Chr6A_292952273 Chr6D_410292914
