hQTL Vg_hQTL
Sim_1 Chr1B_317585192 0.0522434386941835
Sim_2 Chr4A_513613313 0.0513578599807992
Sim_3 Chr1B_280759493 0.0540721938562278
Sim_4 Chr5D_127364623 0.0488065398932921
Sim_5 Chr4D_52181987 0.0527096901666917
Sim_6 Chr3B_540657785 0.0494804043936997
Sim_7 Chr1B_556562317 0.051058735940447
Sim_8 Chr2B_159544013 0.0514947270904446
Sim_9 Chr2A_337639064 0.0525217744509
Sim_10 Chr4D_407863386 0.0472758363066376
Sim_11 Chr6B_384404404 0.0485905594275643
Sim_12 Chr3D_22587299 0.0504684459367786
Sim_13 Chr7A_430729713 0.0486416625493894
Sim_14 Chr1D_32350247 0.0481253821263524
Sim_15 Chr6B_138070028 0.0488159602350178
Sim_16 Chr5B_705246886 0.0526732534678598
Sim_17 Chr2B_725471432 0.0510446574466902
Sim_18 Chr7A_680337591 0.051005964846426
Sim_19 Chr7A_700627389 0.0491919634194705
Sim_20 Chr7B_742022717 0.0490987758323271
Sim_21 Chr5B_447500707 0.0512332958153566
Sim_22 Chr1A_30103038 0.0477516847305379
Sim_23 Chr2B_663518942 0.050055706531153
Sim_24 Chr3A_397164331 0.0484680231176354
Sim_25 Chr5B_587755798 0.0507054558694061
Sim_26 Chr4A_365005288 0.0497777014130111
Sim_27 Chr2D_257488085 0.0490612676066955
Sim_28 Chr3D_511223555 0.0497686864920431
Sim_29 Chr7A_639637221 0.0518869888148233
Sim_30 Chr4A_650216591 0.0491733477707087
Sim_31 Chr4A_670388857 0.0477778452132627
Sim_32 Chr1A_136162006 0.0527853963165333
Sim_33 Chr1B_600275096 0.0533590543376082
Sim_34 Chr2A_581437181 0.0466443912440646
Sim_35 Chr3A_458546240 0.0504601463480851
Sim_36 Chr5A_645794920 0.050047125635933
Sim_37 Chr1B_559835223 0.0470231930328859
Sim_38 Chr5B_241121126 0.0487185243598319
Sim_39 Chr3A_581581123 0.047325959702378
Sim_40 Chr7A_93503965 0.0469407338080026
Sim_41 Chr5B_577146070 0.0505521949738985
Sim_42 Chr6A_104549421 0.0500751242363467
Sim_43 Chr5A_214147408 0.0523772383460565
Sim_44 Chr1B_157633351 0.0510337898803898
Sim_45 Chr5B_238314959 0.0500837794975327
Sim_46 Chr7B_688751113 0.0482721306382416
Sim_47 Chr6A_613928283 0.0495454453895829
Sim_48 Chr7D_285818790 0.0508374624681195
Sim_49 Chr3A_401154049 0.0507678619741488
Sim_50 Chr1B_318927274 0.0523303625140121
Sim_51 Chr1B_144494452 0.0549908024781431
Sim_52 Chr2A_335142239 0.0539611160701291
Sim_53 Chr1B_548021608 0.0453391621613985
Sim_54 Chr7D_363803262 0.0501804379293685
Sim_55 Chr7B_467113805 0.0474612620167395
Sim_56 Chr2B_503638871 0.0495693022245865
Sim_57 Chr4B_428275493 0.0519428287000402
Sim_58 Chr7A_629023653 0.0507236125913431
Sim_59 Chr1B_333320304 0.0453133994775157
Sim_60 Chr3B_827060407 0.0498603127455126
Sim_61 Chr3A_329015636 0.0491405294484726
Sim_62 Chr6D_37187689 0.0507877808811096
Sim_63 Chr5B_241121126 0.0543753233202516
Sim_64 Chr1B_423398765 0.0481922753223202
Sim_65 Chr3A_73594195 0.0499137610353447
Sim_66 Chr5B_630885538 0.0482675217516821
Sim_67 Chr6B_701951541 0.0494555080220189
Sim_68 Chr7A_14895638 0.0496128738094935
Sim_69 Chr1B_330344876 0.0452042350470468
Sim_70 Chr5A_5388780 0.0510183286562976
Sim_71 Chr5A_83489233 0.0490187585000557
Sim_72 Chr4A_6008308 0.0480863191981162
Sim_73 Chr6B_188843956 0.0515359889281176
Sim_74 Chr1A_377224643 0.0494761541981241
Sim_75 Chr5A_141073582 0.0455794845836085
Sim_76 Chr2A_781711666 0.0516129361056185
Sim_77 Chr1B_452612712 0.0499020687601979
Sim_78 Chr7A_179847143 0.0512616924079738
Sim_79 Chr3B_27001607 0.0504431043366759
Sim_80 Chr1B_294913269 0.0490534776505438
Sim_81 Chr6D_432128665 0.0489904197812407
Sim_82 Chr4B_582545439 0.0525557323437292
Sim_83 Chr7B_549852497 0.0484286213430106
Sim_84 Chr2B_92598544 0.0490458614011217
Sim_85 Chr3D_26071867 0.0463568704477547
Sim_86 Chr1B_339099913 0.0483512614291478
Sim_87 Chr6D_91835326 0.0464767131345927
Sim_88 Chr3B_365627278 0.0514854227626167
Sim_89 Chr3B_522040749 0.0500108753703682
Sim_90 Chr2A_538791576 0.0501675890649086
Sim_91 Chr2B_492241261 0.0499101246177868
Sim_92 Chr6A_395168602 0.0484005022794047
Sim_93 Chr2A_198779770 0.0516464849387465
Sim_94 Chr7A_33541780 0.0500723226085082
Sim_95 Chr5A_417807406 0.0468980631301648
Sim_96 Chr5B_176028476 0.0515527041573546
Sim_97 Chr6A_583333085 0.0479336416162207
Sim_98 Chr1B_565029833 0.0465609328947926
Sim_99 Chr3B_46327642 0.0523313522758355
Sim_100 Chr5B_532790852 0.047822051885367
