hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19 epQTL_20
Sim_1 Chr5A_53242290 0.0534906218493593 Chr6A_55608378 Chr3A_725613597 Chr1B_179628973 Chr6B_194920512 Chr1A_115610765 Chr6D_232250761 Chr7D_395396747 Chr4D_455866116 Chr5D_550674811 Chr5B_555253476 Chr7B_209231938 Chr4B_342980491 Chr2D_252011051 Chr3D_449911933 Chr2A_749005159 Chr3B_92886626 Chr2B_80822036 Chr7A_225443302 Chr4A_270355887 Chr1D_154622218
Sim_2 Chr3B_21343457 0.0467211058372939 Chr4B_621121950 Chr7A_296944603 Chr1A_536117243 Chr2D_355804231 Chr1B_357079929 Chr6D_145745214 Chr5A_546627527 Chr3A_459053795 Chr2A_227669878 Chr7B_732669200 Chr6A_596061700 Chr5D_1963456 Chr6B_391373713 Chr2B_432745410 Chr4D_478244065 Chr4A_314123167 Chr3D_296395200 Chr1D_472517867 Chr5B_489632302 Chr7D_37904403
Sim_3 Chr4A_616375729 0.0496276075284231 Chr6A_463219398 Chr1A_16003231 Chr1B_329375227 Chr4D_61425671 Chr7B_642512130 Chr5B_54330370 Chr2D_162909764 Chr6D_374116293 Chr3D_600245358 Chr5A_4335453 Chr6B_23141822 Chr2B_803549638 Chr4B_92566635 Chr3B_165633259 Chr1D_489600697 Chr5D_37155848 Chr3A_432254058 Chr2A_486953984 Chr7A_101738464 Chr7D_542963778
Sim_4 Chr7B_622059806 0.0490810038421164 Chr5B_48708198 Chr4B_34944182 Chr2A_31065143 Chr6A_393692757 Chr1A_24820717 Chr3B_78061024 Chr1B_581196248 Chr6D_341889830 Chr3D_502544927 Chr4D_315366694 Chr3A_241559525 Chr6B_477810854 Chr5A_449523223 Chr4A_608776071 Chr7A_91776375 Chr2B_691086664 Chr7D_433314023 Chr1D_496964946 Chr5D_267913558 Chr2D_532422881
Sim_5 Chr3A_98020218 0.0497285424593768 Chr6D_37187689 Chr7B_718809146 Chr4B_627887856 Chr6B_438008207 Chr1A_11839138 Chr5B_165530640 Chr5A_380735513 Chr7A_70781274 Chr4A_660567505 Chr3B_535019771 Chr2D_336534719 Chr2B_246606298 Chr6A_287140967 Chr2A_749005159 Chr1D_281946036 Chr3D_342243465 Chr5D_427590390 Chr4D_219155322 Chr7D_318381055 Chr1B_63942865
Sim_6 Chr2A_702727915 0.0532284834539434 Chr4D_204293501 Chr6B_64214630 Chr3A_7842343 Chr4A_22780056 Chr5A_486299243 Chr5B_570467863 Chr1A_15596122 Chr6D_29155456 Chr3D_61581853 Chr2D_107413973 Chr3B_120424114 Chr7D_225987073 Chr1B_607847898 Chr1D_154622218 Chr2B_553000218 Chr5D_224197801 Chr7B_443398580 Chr7A_496617253 Chr6A_48294319 Chr4B_257710985
Sim_7 Chr7A_23297662 0.0481670537599136 Chr7B_733600127 Chr1A_17326314 Chr2D_19990868 Chr5B_243257429 Chr2B_524474962 Chr6A_584307227 Chr7D_389903174 Chr4B_594678704 Chr2A_692789803 Chr4A_407524476 Chr1B_78981272 Chr4D_29706187 Chr3D_200036605 Chr3A_571784628 Chr5D_423104481 Chr1D_345864083 Chr6D_344076351 Chr6B_43028019 Chr3B_131073345 Chr5A_148640985
Sim_8 Chr1D_382576938 0.0450088805940483 Chr2B_408986067 Chr6D_411374544 Chr1B_589104382 Chr3D_462506879 Chr7D_642634879 Chr1A_28803725 Chr7A_614144349 Chr7B_164182542 Chr3A_676900858 Chr5A_713067637 Chr4A_638212803 Chr2A_101453092 Chr3B_603393294 Chr5B_491936201 Chr4B_865698 Chr6A_548880699 Chr5D_552403245 Chr6B_719158106 Chr2D_148315915 Chr4D_9367235
Sim_9 Chr2A_416438838 0.0508047457157138 Chr4B_581258909 Chr2B_419876407 Chr6B_399216974 Chr1D_274747242 Chr4A_751358643 Chr5A_450269486 Chr3D_389390437 Chr6D_252404743 Chr1A_45873718 Chr6A_46630614 Chr2D_274471876 Chr7D_19407944 Chr5B_412857590 Chr3A_331048852 Chr7B_716592923 Chr1B_27070516 Chr4D_29201896 Chr3B_667094035 Chr7A_23297662 Chr5D_411763758
Sim_10 Chr5A_253213588 0.0466793688350849 Chr5D_99920377 Chr7D_155519160 Chr1B_455639633 Chr7B_645717860 Chr6A_13563049 Chr3B_19450242 Chr4B_489099977 Chr7A_50160743 Chr3D_368576794 Chr2A_38169351 Chr4A_666340643 Chr5B_54049454 Chr1A_50028197 Chr6B_26046035 Chr2D_598593052 Chr2B_312037623 Chr1D_76892354 Chr6D_484914394 Chr4D_41766564 Chr3A_25751440
Sim_11 Chr2B_449434173 0.046917362076478 Chr3D_53139934 Chr6B_173854261 Chr7A_621624678 Chr3B_170152898 Chr7B_255967881 Chr4B_292546612 Chr6A_599074125 Chr5D_431161578 Chr1B_459390066 Chr1D_316017089 Chr4D_263629094 Chr2D_143326167 Chr3A_592887834 Chr5B_491936201 Chr2A_752544632 Chr4A_402204374 Chr7D_110080544 Chr1A_595791409 Chr6D_164795040 Chr5A_306973325
Sim_12 Chr6A_612763513 0.054115154295273 Chr7D_182096108 Chr3A_502494932 Chr3B_494241973 Chr1B_27148863 Chr7A_50160743 Chr7B_733092493 Chr4B_599696257 Chr5A_505261473 Chr4A_732199650 Chr3D_444226996 Chr2B_800071576 Chr5D_550559492 Chr6D_241959069 Chr2D_291564186 Chr1D_466670986 Chr6B_6162304 Chr5B_695545546 Chr2A_82839507 Chr4D_256431520 Chr1A_585193749
Sim_13 Chr3A_47418053 0.0475763691064214 Chr6B_336830637 Chr5D_76619266 Chr1B_629409679 Chr6A_620816456 Chr3B_504092575 Chr2D_189098119 Chr7B_660103097 Chr7D_134691853 Chr2B_691086664 Chr1A_431701574 Chr4D_89963366 Chr6D_244841211 Chr3D_257456482 Chr4B_557167241 Chr7A_14437223 Chr5A_57618321 Chr1D_461363977 Chr5B_401705240 Chr4A_335923159 Chr2A_310790783
